Genre_04_nouns.csv
Unique nouns: 751, Total nouns: 1792
Total time: Uncomputed,Cost per noun: Uncomputed
mode,"['A multiplayer mode in which different players have totally different roles and capabilities.', 'A multiplayer mode in which players (often a very large number of them) eliminate each other until only one remains.', 'A multiplayer mode in which players compete against each other as players or teams.', 'A multiplayer mode in the main game in which every player is on the same team and playing against the computer.', '\n\nMeta Multiplayer : A multiplayer mode in which players are playing their own game at a time, but other players are doing this as well.', 'While many games nowadays have some sort of online multiplayer mode, there are some games which only exist on the Internet itself.']",6
capability,['A multiplayer mode in which different players have totally different roles and capabilities.'],1
royale,['\n\nBattle Royale Game :'],1
competitive,['\n\nCompetitive Multiplayer :'],1
co,['\n\nCo-Op Multiplayer :'],1
op,['\n\nCo-Op Multiplayer :'],1
roulette,['\n\nGameplay Roulette :'],1
scenario,['A scenario in which games within a franchise switch from one Video Game Genre to another in an attempt to continue appealing to fans.'],1
franchise,"['A scenario in which games within a franchise switch from one Video Game Genre to another in an attempt to continue appealing to fans.', ""Museum Game : A game that is primarily about paying tribute to or heavily referencing a franchise or company's past."", '\n\nLicense-Added Game : A specific type of Licensed Game in which the license is added to a new version of an existing video game franchise.', '\n\nVideo Game Long Runners : A franchise that has at least six games in its main series and spans ten years.']",4
switch,"['A scenario in which games within a franchise switch from one Video Game Genre to another in an attempt to continue appealing to fans.', ""Turn-Based Combat : A game that isn't an all-out turn-based strategy/tactics but switches to turns whenever combat starts.""]",2
attempt,['A scenario in which games within a franchise switch from one Video Game Genre to another in an attempt to continue appealing to fans.'],1
fan,"['A scenario in which games within a franchise switch from one Video Game Genre to another in an attempt to continue appealing to fans.', 'Can range from cosmetic improvements to additional fan-created content to full-on total conversions that only share an underlying game engine.', 'H-Game : A game that features sex or heavy fan service.']",3
isometric,"['\n\nIsometric Projection : A graphical projection that squishes the vertical axes, thus forcing perpendicular angles to look wider and more three-dimensional.']",1
projection,"['\n\nIsometric Projection : A graphical projection that squishes the vertical axes, thus forcing perpendicular angles to look wider and more three-dimensional.']",2
axis,"['\n\nIsometric Projection : A graphical projection that squishes the vertical axes, thus forcing perpendicular angles to look wider and more three-dimensional.', ""\n\nThree Quarters View : A perspective that is a tilted bird's eye view perspective in which both the top and front of an object is seen at the same time, and the vertical axis indicates both height and depth.""]",2
angle,"['\n\nIsometric Projection : A graphical projection that squishes the vertical axes, thus forcing perpendicular angles to look wider and more three-dimensional.']",1
massive,['\n\nMassive Multiplayer Crossover : A Crossover with at least three different continuities.'],1
crossover,['\n\nMassive Multiplayer Crossover : A Crossover with at least three different continuities.'],2
continuity,['\n\nMassive Multiplayer Crossover : A Crossover with at least three different continuities.'],1
meta,"['\n\nMeta Multiplayer : A multiplayer mode in which players are playing their own game at a time, but other players are doing this as well.']",1
museum,"[""Museum Game : A game that is primarily about paying tribute to or heavily referencing a franchise or company's past.""]",1
tribute,"[""Museum Game : A game that is primarily about paying tribute to or heavily referencing a franchise or company's past.""]",1
company,"[""Museum Game : A game that is primarily about paying tribute to or heavily referencing a franchise or company's past."", 'A game that is developed without the backing of a publishing company, thus making it independently developed.']",2
past,"[""Museum Game : A game that is primarily about paying tribute to or heavily referencing a franchise or company's past.""]",1
music,"['\n\nMusic Player Game : A game in which the levels are procedurally generated from the music you feed it, typically the more intensive and loud the music, the more action you are going to see.']",3
background,['\n\nPop Up Video Games : A game in which clicking on background items results in cute animations.'],1
animation,['\n\nPop Up Video Games : A game in which clicking on background items results in cute animations.'],1
physics,['\n\nPhysics Based : A game that is primarily about the developers showing off applications of physics.'],2
developer,"['\n\nPhysics Based : A game that is primarily about the developers showing off applications of physics.', 'Some developers have an ""Open Beta"" process, giving access to a pre-release version of the game to the general public (or play testers selected from a public pool) for more extensive testing.', 'Downloadable Content : Additional, optional content provided by the developer via digital distribution and purchased separately from the main game.', 'So named because the developers seem to be ""outsourcing"" their beta testing to the player base without telling them the game\'s not really finished.']",4
application,['\n\nPhysics Based : A game that is primarily about the developers showing off applications of physics.'],1
minute,['\n\nReal Time : When one minute of game play equals one minute in game time.'],2
experience,"[""\n\nRPG Elements : A game that isn't exactly a Role-Playing Game , but the player character is gaining experience points and levels like in an RPG.""]",1
view,"['\n\nSide View : A perspective that views all objects from the side and nowhere else.', ""\n\nThree Quarters View : A perspective that is a tilted bird's eye view perspective in which both the top and front of an object is seen at the same time, and the vertical axis indicates both height and depth."", '\n\nTop-Down View : A perspective that views all objects straight and nowhere else.']",4
quarters,"[""\n\nThree Quarters View : A perspective that is a tilted bird's eye view perspective in which both the top and front of an object is seen at the same time, and the vertical axis indicates both height and depth.""]",1
bird,"[""\n\nThree Quarters View : A perspective that is a tilted bird's eye view perspective in which both the top and front of an object is seen at the same time, and the vertical axis indicates both height and depth.""]",1
front,"[""\n\nThree Quarters View : A perspective that is a tilted bird's eye view perspective in which both the top and front of an object is seen at the same time, and the vertical axis indicates both height and depth.""]",1
depth,"[""\n\nThree Quarters View : A perspective that is a tilted bird's eye view perspective in which both the top and front of an object is seen at the same time, and the vertical axis indicates both height and depth.""]",1
move,['\n\nTurn-Based: When the player and the computer take turns in making moves.'],1
section,"['\n\nTurn-Based Strategy, Real Time Combat : A TBS game where the combat sections take place in Real Time , meaning no Turn-Based Combat .']",1
unexpected,['\n\nUnexpected Gameplay Change : When the genre in a game suddenly changes to a different genre with little warning.'],1
warning,['\n\nUnexpected Gameplay Change : When the genre in a game suddenly changes to a different genre with little warning.'],1
sprite,['\n\n3D : When a video game series goes from having two-dimensional sprites to having three-dimensional polygons.'],1
polygon,['\n\n3D : When a video game series goes from having two-dimensional sprites to having three-dimensional polygons.'],1
open,"['\n\nWide-Open Sandbox : When the massive open world and optional material outweigh the actual, goal-oriented game play.', 'Some developers have an ""Open Beta"" process, giving access to a pre-release version of the game to the general public (or play testers selected from a public pool) for more extensive testing.']",2
